Quesh,Total Respo,Avg Rating,sent,charcount,cluster
What was the best memory you made this autumn?,15,4.0,1.933333333,55.53333333,3
Ice Skating or Sledding?,18,4.0,0.055555556,31.33333333,3
"If you were designing your dream office, what would be three must-haves?",24,3.92,2.0,74.79166667,2
What is the best part about winter?,26,4.15,1.115384615,78.23076923,2
The category is Person of the Year. Who are you nominating?,14,3.79,1.642857143,98.85714286,3
What is something on your bucket list?,20,4.15,0.55,48.55,3
Sugar Cookies or Chocolate Chip?,25,4.0,0.04,33.84,2
What matters most?,19,4.0,3.473684211,31.68421053,2
"If you could ask 2022 one question, what would you ask?",20,4.3,0.6,36.35,3
What 2021 accomplishment are you most proud of?,20,4.25,2.5,118.6842105,2
What's the biggest lesson you learned this year?,15,4.33,1.6,64.33333333,3
Which day of this year do you wish you could relive?,17,4.24,2.058823529,95.64705882,3
What has been the biggest surprise of 2021?,17,3.94,0.588235294,85.29411765,3
What do you need to leave behind this year?,18,4.33,-1.0,53.22222222,3
What promise do you want to make yourself this year?,16,3.75,1.75,47.8125,3
Who’s the most famous person you’ve ever met?,16,4.06,1.1875,59.75,3
Which song(s) sum up your life?,13,4.23,0.461538462,77.46153846,3
Which ad jingle comes to mind first?,21,3.57,1.476190476,26.80952381,2
What’s your favorite food combo?,16,3.56,0.8125,52.25,3
"If you had to win a game to save your life, which would you play?",18,3.67,0.722222222,31.94444444,2
Which one condiment could you not live without?,18,3.78,0.722222222,50.05555556,2
