Quesh,Quesh Date,Respo Rating,sent_ans,sent_quesh
What’s your favorite food combo?,2022-01-05,3.533333333333333,0.8666666666666667,2.0
"If you had to win a game to save your life, which would you play?",2022-01-06,3.6666666666666665,0.7222222222222222,6.0
Which one condiment could you not live without?,2022-01-07,3.772727272727273,0.7272727272727273,0.0
What would you like younger generations to know?,2022-01-08,4.076923076923077,1.6153846153846154,2.0
What have you learned about love?,2022-01-09,4.533333333333333,5.533333333333333,3.0
"If a sandwich was named after you, what would be on it?",2022-01-10,4.1875,1.5625,0.0
"On a scale from 1 to 10, how is 2022 going so far?",2022-01-11,3.869565217391304,1.434782608695652,0.0
What's something you're learning about?,2022-01-12,3.9583333333333335,1.5416666666666667,0.0
How easily do you fall in love?,2022-01-13,3.909090909090909,2.227272727272727,3.0
What is the best quality of a friend?,2022-01-14,4.136363636363637,4.136363636363637,6.0
How did you start your day today?,2022-01-15,4.0,1.1818181818181819,0.0
What's something random you know a lot about?,2022-01-16,4.117647058823529,0.8823529411764706,0.0
"In your dream world, what issue(s) would be resolved?",2022-01-17,3.9047619047619047,0.9523809523809523,3.0
What are your three most used emojis?,2022-01-18,3.736842105263158,0.47368421052631576,0.0
What's something you've done that you'll never do again?,2022-01-19,3.8947368421052633,0.42105263157894735,0.0
When and where was your last flight?,2022-01-20,3.9444444444444446,0.2777777777777778,0.0
"If you were a dog, which breed would you want to be?",2022-01-21,4.125,2.3125,1.0
What was the best hotel experience you've had?,2022-01-22,3.8333333333333335,5.166666666666667,3.0
What stereotype about your astrological sign is true for you?,2022-01-23,4.066666666666666,3.2,0.0
"As a child, what was your dream job?",2022-01-24,3.9444444444444446,1.5555555555555556,1.0
"Which is a greater challenge for you, nutrition or exercise?",2022-01-25,4.333333333333333,4.166666666666667,2.0
Would you rather hire a housekeeper or a personal chef?,2022-01-26,3.9411764705882355,2.3529411764705883,0.0
What’s a delicious and healthy snack?,2022-01-27,4.25,1.75,5.0
Which celebrity would you want as a best friend?,2022-01-28,4.470588235294118,2.823529411764706,5.0
Blue Cheese or Ranch?,2022-01-29,3.789473684210526,0.10526315789473684,0.0
Which skin care products do you use?,2022-01-30,3.588235294117647,1.4705882352941178,2.0
What has been the best part of this month?,2022-01-31,4.176470588235294,2.235294117647059,3.0
What game do you love to play?,2022-02-01,4.176470588235294,2.764705882352941,3.0
What movie do you love to watch over and over?,2022-02-02,4.333333333333333,2.0476190476190474,3.0
What do you love that most people don't?,2022-02-03,4.25,1.1,3.0
What candy do you love?,2022-02-04,4.217391304347826,2.0434782608695654,3.0
What do you love to do for yourself?,2022-02-05,4.333333333333333,3.0,3.0
What compliment do you love hearing?,2022-02-06,4.266666666666667,7.0,5.0
Who is someone funny you love?,2022-02-07,3.9411764705882355,1.6470588235294117,7.0
What would you love to do this year?,2022-02-08,3.696969696969697,2.909090909090909,3.0
What kind of pizza do you love?,2022-02-09,3.793103448275862,4.103448275862069,3.0
What place would you love to travel to right now?,2022-02-10,4.142857142857143,1.25,3.0
What do you love about yourself?,2022-02-11,4.454545454545454,3.772727272727273,3.0
What do you love to do for others?,2022-02-12,4.136363636363637,7.136363636363637,3.0
What Super Bowl commercial do you love?,2022-02-13,3.7222222222222223,2.0555555555555554,6.0
Who do you love?,2022-02-14,4.125,3.5416666666666665,3.0
"What African-American artist, inventor or hero do you admire?",2022-02-15,3.8636363636363638,2.0454545454545454,5.0
Crunchy Peanut Butter or Smooth?,2022-02-16,4.0,0.92,0.0
What is something that comes naturally to you?,2022-02-17,4.105263157894737,2.4210526315789473,0.0
What form of art fascinates you most?,2022-02-18,4.260869565217392,3.0434782608695654,3.0
What was your favorite food growing up and what is it now?,2022-02-19,4.1875,2.75,3.0
What is something that you've learned to accept?,2022-02-20,3.782608695652174,1.565217391304348,1.0
